,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@POTUS Is it accurate to refer to those making the proposal as “extreme MAGA” @CommunityNotes?,1487,129,2023-03-27 17:12:53+00:00
1,elonmusk,@sandykory I remember the early meetings with Gates. His understanding of AI was limited. Still is.,28969,2567,2023-03-27 12:43:40+00:00
2,elonmusk,@cz_binance True,12797,747,2023-03-27 11:42:52+00:00
3,elonmusk,@DailyLoud Great jacket tbh,10133,315,2023-03-27 11:21:35+00:00
4,elonmusk,@jordanbpeterson !!,4218,266,2023-03-27 11:06:09+00:00
5,elonmusk,"To get Blue Check Verified for $7/month, sign up via web at https://t.co/JUTlIcVsSe",26487,3442,2023-03-27 10:59:56+00:00
6,elonmusk,@catturd2 It will be glorious 🚀 💫 💗,16467,1021,2023-03-27 10:57:34+00:00
7,elonmusk,"@realdrewpage To get Blue Verified for $7/month, sign up via web browser at https://t.co/JUTlIcVsSe",2661,175,2023-03-27 10:56:15+00:00
8,elonmusk,@walterezquie @Rainmaker1973 Name sure comes up a lot … https://t.co/gj9LLDlUj4,700,59,2023-03-27 10:41:09+00:00
9,elonmusk,@CatherinScience That we extend consciousness to the stars and understand the Universe,3880,553,2023-03-27 10:28:54+00:00
10,elonmusk,@cb_doge Twitter is the news,40140,3029,2023-03-27 10:24:39+00:00
11,elonmusk,@Rainmaker1973 That’s what people who have the woke mind virus look like to me,82570,8354,2023-03-27 10:23:57+00:00
12,elonmusk,@Rainmaker1973 https://t.co/e4Ax5J449Z,984,79,2023-03-27 10:19:46+00:00
13,elonmusk,@Rainmaker1973 Reminds me of The Marker from Dead Space,2678,177,2023-03-27 10:17:47+00:00
14,elonmusk,@dogeofficialceo 🤣,2756,157,2023-03-27 09:18:35+00:00
15,elonmusk,@cb_doge Seriously,7114,432,2023-03-27 09:12:41+00:00
16,elonmusk,@TheBabylonBee 🤣,4460,260,2023-03-27 05:00:14+00:00
17,elonmusk,@kevinnbass The Lancet sold their soul years ago,7826,1027,2023-03-27 04:54:25+00:00
18,elonmusk,@CatholicVote @Riley_Gaines_ Shame on NCAA!,3135,335,2023-03-27 04:46:26+00:00
19,elonmusk,"@WholeMarsBlog Still a few legacy NNs using single cam, single frame that need to move to surround video",3079,235,2023-03-27 04:17:57+00:00
20,elonmusk,@TD_Investor Or he could have just invested in Tesla at $200M market cap when he had the opportunity to do so,28191,1171,2023-03-27 04:16:17+00:00
21,elonmusk,"Given that modern AI can solve any “prove you’re not a robot” tests, it’s now trivial to spin up 100k human-like bots for less than a penny per account.

Paid verification increases bot cost by ~10,000% &amp; makes it much easier to identify bots by phone &amp; CC clustering.

Obvious… https://t.co/DtJxDDeLuw",88034,8792,2023-03-27 03:48:31+00:00
22,elonmusk,@StewMama71 @HansMahncke Exactly,1052,66,2023-03-27 03:31:36+00:00
23,elonmusk,It’s more about treating everyone equally. There shouldn’t be a different standard for celebrities imo. https://t.co/rWi99sGPdq,79985,7677,2023-03-27 03:05:24+00:00
24,elonmusk,@KobeissiLetter This is by far the most serious looming issue. Mortgages too.,5282,506,2023-03-27 02:59:34+00:00
25,elonmusk,@wanda_hudson It’s close. One more round of refinement needed.,3011,212,2023-03-27 02:58:28+00:00
26,elonmusk,@NPR Thank you for correcting yourself,3000,156,2023-03-27 02:57:18+00:00
27,elonmusk,@erikbryn The most interesting times of all,6732,524,2023-03-27 02:56:31+00:00
28,elonmusk,@TrungTPhan Good for him. He makes movies fun to watch.,2834,119,2023-03-27 02:53:34+00:00
29,elonmusk,@EndWokeness 0% …,21185,1276,2023-03-27 02:51:05+00:00
30,elonmusk,@Altimor Exactly,1624,125,2023-03-27 02:47:10+00:00
31,elonmusk,@blisstweeting 🔥🔥,1594,129,2023-03-27 02:36:27+00:00
32,elonmusk,@HelpfulNotes Notes ftw,6514,270,2023-03-27 02:30:48+00:00
33,elonmusk,@EndWokeness Well-said,31959,2095,2023-03-27 02:25:20+00:00
34,elonmusk,Prescient https://t.co/Sw9fjbLnJR,46447,7771,2023-03-27 01:57:41+00:00
35,elonmusk,Blooper reel must be amazing https://t.co/Z1m3yhyvrQ,316170,23608,2023-03-27 01:54:37+00:00
36,elonmusk,@cb_doge OpenAI has strayed very far from the path of virtue https://t.co/FftFVp3Kco,7570,704,2023-03-27 01:45:51+00:00
37,elonmusk,@george__mack @DKThomp The media is a click-seeking machine dressed as truth-seeking,1684,233,2023-03-27 01:41:15+00:00
38,elonmusk,@george__mack Wow,894,67,2023-03-27 01:39:17+00:00
39,elonmusk,@DrJBhattacharya @KatherineEban @VanityFair Vanity Fair has lost its way ever since Graydon left,4204,351,2023-03-27 01:20:11+00:00
40,elonmusk,@Jason True,5905,312,2023-03-27 01:06:04+00:00
41,elonmusk,@cb_doge It’s a start,27948,1389,2023-03-27 00:49:18+00:00
42,elonmusk,@TheBabylonBee 🤣🤣,15003,734,2023-03-26 23:43:32+00:00
43,elonmusk,@blovereviews Also … I would never wear that outfit,187720,5663,2023-03-26 23:41:14+00:00
44,elonmusk,@BillyM2k @CNN 💯,21552,836,2023-03-26 18:41:41+00:00
45,elonmusk,@WallStreetSilv 🥜,4730,279,2023-03-26 10:49:52+00:00
46,elonmusk,@KanekoaTheGreat @DavidSacks Accurate,27856,2755,2023-03-26 10:36:36+00:00
47,elonmusk,@KanekoaTheGreat @DavidSacks @glennbeck US foreign policy is bronze tier on a good day!,16320,1403,2023-03-26 10:32:06+00:00
48,elonmusk,@monitoringbias !!,1538,91,2023-03-26 10:18:13+00:00
49,elonmusk,@stevenmarkryan Yes,22128,1105,2023-03-26 09:49:57+00:00
50,elonmusk,@mezaoptimizer @sama For now,4753,292,2023-03-26 09:42:23+00:00
51,elonmusk,@TheBabylonBee 🤣🤣,11208,678,2023-03-25 22:34:03+00:00
52,elonmusk,@Mrbankstips Absolutely,13234,1087,2023-03-25 22:15:21+00:00
53,elonmusk,@BillyM2k @OTerrifying 🤣,3559,157,2023-03-25 22:14:54+00:00
54,elonmusk,Big congratulations to the Tesla Germany team!! https://t.co/ijwFUmmgA2,116341,9272,2023-03-25 20:53:43+00:00
55,elonmusk,@TeslaHype 🔥🔥,6267,357,2023-03-25 19:27:36+00:00
56,elonmusk,@jasondebolt Try using a List,4108,258,2023-03-25 18:04:04+00:00
57,elonmusk,@cb_doge 🤣,9553,375,2023-03-25 17:57:24+00:00
58,elonmusk,"@TitterDaily Yeah, generally correct. 

Titter was trending to lose ~$3B/year (revenue drop of ~$1.5B + debt servicing of ~$1.5B) and had $1B in cash, so only 4 months of money. Extremely dire situation.

Now that advertisers are returning, it looks like we will break even in Q2.",9961,956,2023-03-25 17:31:20+00:00
59,elonmusk,@GavinSBaker @hubermanlab I never take notes,21135,1300,2023-03-25 17:09:44+00:00
60,elonmusk,@TeslaHype Indeed,11397,657,2023-03-25 17:07:52+00:00
61,elonmusk,@SawyerMerritt Looking forward to it,8157,532,2023-03-25 01:45:42+00:00
62,elonmusk,@WholeMarsBlog Competition has nothing to do with it. There are serious AI risk issues.,25194,2017,2023-03-24 23:05:44+00:00
63,elonmusk,@stillgray Interesting take,13503,914,2023-03-24 22:51:09+00:00
